Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1330	S1240	Same_neighbor	0.156253896844	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1383	Same_neighbor	0.275470757536	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1214	Same_neighbor	0.274473128726	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1402	Same_neighbor	0.209128319977	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1331	Same_neighbor	0.317745355	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1330	S1222	Same_neighbor	0.2999127094	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1453	S1445	Same_neighbor	0.348297792303	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1453	S1430	Same_neighbor	0.276593091085	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1453	S1446	Same_neighbor	0.346801349613	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1453	S1454	Same_neighbor	0.262750967474	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1511	S1494	Same_neighbor	0.264621525838	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1511	S1501	Same_neighbor	0.18381344204	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1511	S1531	Same_neighbor	0.289437588842	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1511	S1520	Same_neighbor	0.182566406678	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
