phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ARG181	Neis_high	557	0:1	280:277	-0.06392	0.00111203684233778	0.684304723791521	0.408469058564887
Occupational_pollution	ARG181	Neis_low	555	0:1	260:295	-0.09997	0.00185107796390085	1.09307193227854	0.296255047483106
Occupational_pollution	ARG182	Neis_high	557	0:1	280:277	0.08011	0.00142545643601691	0.794305799054756	0.373193163371127
Occupational_pollution	ARG182	Neis_low	555	0:1	260:295	-0.12467	0.00354867954956431	2.01490596564465	0.156332617913189
Occupational_pollution	ARG183	Neis_high	557	0:1	280:277	-0.03287	0.000233281581773714	0.150599318204794	0.698114263105709
Occupational_pollution	ARG183	Neis_low	555	0:1	260:295	-0.17988	0.00704349296123521	4.23324584163869	0.0401147314693352
Occupational_pollution	ARG184	Neis_high	557	0:1	280:277	-0.06299	0.000840804185702176	0.544994831527129	0.46068664904522
Occupational_pollution	ARG184	Neis_low	555	0:1	260:295	-0.05976	0.00078036397546144	0.475041694753206	0.490970176797004
Occupational_pollution	ARG185	Neis_high	557	0:1	280:277	-0.11638	0.00467259402363207	2.99927255897483	0.0838656747873834
Occupational_pollution	ARG185	Neis_low	555	0:1	260:295	-0.16449	0.00501375968721315	3.33561003332096	0.0683421612093513
Occupational_pollution	ARG186	Neis_high	557	0:1	280:277	-0.06383	0.000896037643336373	0.525189131885202	0.468946368449332
Occupational_pollution	ARG186	Neis_low	555	0:1	260:295	-0.05087	0.000544567229933249	0.312455012506056	0.576407190020271
Occupational_pollution	ARG187	Neis_high	557	0:1	280:277	-0.05354	0.000605244087963738	0.373948975983669	0.541113623772128
Occupational_pollution	ARG187	Neis_low	555	0:1	260:295	-0.15464	0.00529576082757621	3.0933877920534	0.0791721479642831
Occupational_pollution	ARG188	Neis_high	557	0:1	280:277	-0.04414	0.000395199628510576	0.230760429494079	0.631152605099431
Occupational_pollution	ARG188	Neis_low	555	0:1	260:295	-0.05853	0.000765701586979028	0.440672195356327	0.507078911653318
Occupational_pollution	ARG189	Neis_high	557	0:1	280:277	0.02905	0.000197912276623892	0.11366628817321	0.736137435529007
Occupational_pollution	ARG189	Neis_low	555	0:1	260:295	0.0817	0.00134403470671298	0.750663948269819	0.386647366010402
Occupational_pollution	ARG190	Neis_high	557	0:1	280:277	-0.0083	1.32753800356072e-05	0.00793905960956118	0.929033936976452
Occupational_pollution	ARG190	Neis_low	555	0:1	260:295	-0.02031	9.848455389775e-05	0.055311609505513	0.814154106141359
Occupational_pollution	ARG191	Neis_high	557	0:1	280:277	-0.01728	0.000423915045359387	0.23383949434144	0.628884914216205
Occupational_pollution	ARG191	Neis_low	555	0:1	260:295	0.04629	0.000261889442364183	0.143823784645087	0.704656572133083
Occupational_pollution	ARG192	Neis_high	557	0:1	280:277	-0.0266	7.03484472529773e-05	0.0389841263714683	0.843553459893859
Occupational_pollution	ARG192	Neis_low	555	0:1	260:295	0	0.00122059531918295	0.940281038224531	0.332635709020849
Occupational_pollution	ARG193	Neis_high	557	0:1	280:277	-0.03346	0.000111358162616933	0.0617168792938146	0.803895875164531
Occupational_pollution	ARG193	Neis_low	555	0:1	260:295	0	0.000418176386775437	0.940281038224306	0.332635709020907
Occupational_pollution	ARG194	Neis_high	557	0:1	280:277	-0.0266	7.03484472529773e-05	0.0389841263714683	0.843553459893859
Occupational_pollution	ARG194	Neis_low	555	0:1	260:295	0	0.00122059531918295	0.940281038224531	0.332635709020849
Occupational_pollution	ARG195	Neis_high	557	0:1	280:277	-0.21008	0.00704353765410251	3.93765965390751	0.047715682038612
Occupational_pollution	ARG195	Neis_low	555	0:1	260:295	-0.0835	0.00209867467997847	1.15923410295705	0.28210079842349
Occupational_pollution	ARG196	Neis_high	557	0:1	280:277	0.08107	0.00116272867957547	0.663360936172055	0.41573034379326
Occupational_pollution	ARG196	Neis_low	555	0:1	260:295	-0.08544	0.00201307683174543	1.17210631460273	0.27944763406106
Occupational_pollution	ARG197	Neis_high	557	0:1	280:277	0.09407	0.00159928168023792	0.918656342851834	0.338251458403205
Occupational_pollution	ARG197	Neis_low	555	0:1	260:295	0.0473	0.000563761037452631	0.313315303457745	0.575882845700739
Occupational_pollution	ARG198	Neis_high	557	0:1	280:277	0.11224	0.00265518692110876	1.47285578603585	0.225419413893566
